Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/certfr_dump

===== YEAR 2000 (CERTA, 3 digits) =====
[+] CERTA-2000-AVI-001 | 0 CVE
[+] CERTA-2000-AVI-002 | 0 CVE
[+] CERTA-2000-AVI-003 | 0 CVE
[+] CERTA-2000-AVI-004 | 0 CVE
[+] CERTA-2000-AVI-005 | 0 CVE
[+] CERTA-2000-AVI-006 | 0 CVE
[+] CERTA-2000-AVI-007 | 0 CVE
[+] CERTA-2000-AVI-008 | 0 CVE
[+] CERTA-2000-AVI-009 | 0 CVE
[+] CERTA-2000-AVI-010 | 0 CVE
[+] CERTA-2000-AVI-011 | 0 CVE
[+] CERTA-2000-AVI-012 | 0 CVE
[+] CERTA-2000-AVI-013 | 0 CVE
[+] CERTA-2000-AVI-014 | 0 CVE
[+] CERTA-2000-AVI-015 | 0 CVE
[+] CERTA-2000-AVI-016 | 0 CVE
[+] CERTA-2000-AVI-017 | 0 CVE
[+] CERTA-2000-AVI-018 | 0 CVE
[+] CERTA-2000-AVI-019 | 0 CVE
[+] CERTA-2000-AVI-020 | 0 CVE
[+] CERTA-2000-AVI-021 | 0 CVE
[+] CERTA-2000-AVI-022 | 0 CVE
[+] CERTA-2000-AVI-023 | 0 CVE
[+] CERTA-2000-AVI-024 | 0 CVE
[+] CERTA-2000-AVI-025 | 0 CVE
[+] CERTA-2000-AVI-026 | 0 CVE
[+] CERTA-2000-AVI-027 | 0 CVE
[+] CERTA-2000-AVI-028 | 0 CVE
[+] CERTA-2000-AVI-029 | 0 CVE
[+] CERTA-2000-AVI-030 | 0 CVE
[+] CERTA-2000-AVI-031 | 0 CVE
[+] CERTA-2000-AVI-032 | 0 CVE
[+] CERTA-2000-AVI-033 | 0 CVE
[+] CERTA-2000-AVI-034 | 0 CVE
[+] CERTA-2000-AVI-035 | 0 CVE
[+] CERTA-2000-AVI-036 | 0 CVE
[+] CERTA-2000-AVI-037 | 0 CVE
[+] CERTA-2000-AVI-038 | 0 CVE
[+] CERTA-2000-AVI-039 | 0 CVE
[+] CERTA-2000-AVI-040 | 0 CVE
[+] CERTA-2000-AVI-041 | 0 CVE
[+] CERTA-2000-AVI-042 | 0 CVE
[+] CERTA-2000-AVI-043 | 0 CVE
[+] CERTA-2000-AVI-044 | 0 CVE
[+] CERTA-2000-AVI-045 | 0 CVE
[+] CERTA-2000-AVI-046 | 0 CVE
[+] CERTA-2000-AVI-047 | 0 CVE
[+] CERTA-2000-AVI-048 | 0 CVE
[+] CERTA-2000-AVI-049 | 0 CVE
[+] CERTA-2000-AVI-050 | 0 CVE
[+] CERTA-2000-AVI-051 | 0 CVE
[+] CERTA-2000-AVI-052 | 0 CVE
[+] CERTA-2000-AVI-053 | 0 CVE
[+] CERTA-2000-AVI-054 | 0 CVE
[+] CERTA-2000-AVI-055 | 0 CVE
[+] CERTA-2000-AVI-056 | 0 CVE
[+] CERTA-2000-AVI-057 | 0 CVE
[+] CERTA-2000-AVI-058 | 0 CVE
[+] CERTA-2000-AVI-059 | 0 CVE
[+] CERTA-2000-AVI-060 | 0 CVE
[+] CERTA-2000-AVI-061 | 0 CVE
[+] CERTA-2000-AVI-062 | 0 CVE
[+] CERTA-2000-AVI-063 | 0 CVE
[+] CERTA-2000-AVI-064 | 0 CVE
[+] CERTA-2000-AVI-065 | 0 CVE
[+] CERTA-2000-AVI-066 | 0 CVE
[+] CERTA-2000-AVI-067 | 0 CVE
[+] CERTA-2000-AVI-068 | 0 CVE
[+] CERTA-2000-AVI-069 | 0 CVE
[+] CERTA-2000-AVI-070 | 0 CVE
[+] CERTA-2000-AVI-071 | 0 CVE
[+] CERTA-2000-AVI-072 | 0 CVE
[+] CERTA-2000-AVI-073 | 0 CVE
[+] CERTA-2000-AVI-074 | 0 CVE
[+] CERTA-2000-AVI-075 | 0 CVE
[+] CERTA-2000-AVI-076 | 0 CVE
[+] CERTA-2000-AVI-077 | 0 CVE
[+] CERTA-2000-AVI-078 | 0 CVE
[+] CERTA-2000-AVI-079 | 0 CVE
[+] CERTA-2000-AVI-080 | 0 CVE
[+] CERTA-2000-AVI-081 | 0 CVE
[+] CERTA-2000-AVI-082 | 0 CVE
[+] CERTA-2000-AVI-083 | 0 CVE
[+] CERTA-2000-AVI-084 | 0 CVE
[+] CERTA-2000-AVI-085 | 0 CVE
[+] CERTA-2000-AVI-086 | 0 CVE
[+] CERTA-2000-AVI-087 | 0 CVE
[+] CERTA-2000-AVI-088 | 0 CVE
[+] CERTA-2000-AVI-089 | 0 CVE
[+] CERTA-2000-AVI-090 | 0 CVE
[+] CERTA-2000-AVI-091 | 0 CVE
[+] CERTA-2000-AVI-092 | 0 CVE
[+] CERTA-2000-AVI-093 | 0 CVE
Done 2000: new=93, updated=0, skipped=0, errors=0

===== YEAR 2001 (CERTA, 3 digits) =====
[+] CERTA-2001-AVI-001 | 0 CVE
[+] CERTA-2001-AVI-002 | 0 CVE
[+] CERTA-2001-AVI-003 | 0 CVE
[+] CERTA-2001-AVI-004 | 0 CVE
[+] CERTA-2001-AVI-005 | 0 CVE
[+] CERTA-2001-AVI-006 | 0 CVE
[+] CERTA-2001-AVI-007 | 0 CVE
[+] CERTA-2001-AVI-008 | 0 CVE
[+] CERTA-2001-AVI-009 | 0 CVE
[+] CERTA-2001-AVI-010 | 0 CVE
[+] CERTA-2001-AVI-011 | 0 CVE
[+] CERTA-2001-AVI-012 | 0 CVE
[+] CERTA-2001-AVI-013 | 0 CVE
[+] CERTA-2001-AVI-014 | 0 CVE
[+] CERTA-2001-AVI-015 | 0 CVE
[+] CERTA-2001-AVI-016 | 0 CVE
[+] CERTA-2001-AVI-017 | 0 CVE
[+] CERTA-2001-AVI-018 | 0 CVE
[+] CERTA-2001-AVI-019 | 0 CVE
[+] CERTA-2001-AVI-020 | 0 CVE
[+] CERTA-2001-AVI-021 | 0 CVE
[+] CERTA-2001-AVI-022 | 0 CVE
[+] CERTA-2001-AVI-023 | 0 CVE
[+] CERTA-2001-AVI-024 | 0 CVE
[+] CERTA-2001-AVI-025 | 0 CVE
[+] CERTA-2001-AVI-026 | 0 CVE
[+] CERTA-2001-AVI-027 | 0 CVE
[+] CERTA-2001-AVI-028 | 0 CVE
[+] CERTA-2001-AVI-029 | 0 CVE
[+] CERTA-2001-AVI-031 | 0 CVE
[+] CERTA-2001-AVI-032 | 0 CVE
[+] CERTA-2001-AVI-033 | 0 CVE
[+] CERTA-2001-AVI-034 | 0 CVE
[+] CERTA-2001-AVI-035 | 0 CVE
[+] CERTA-2001-AVI-036 | 0 CVE
[+] CERTA-2001-AVI-037 | 0 CVE
[+] CERTA-2001-AVI-038 | 0 CVE
[+] CERTA-2001-AVI-039 | 0 CVE
[+] CERTA-2001-AVI-040 | 0 CVE
[+] CERTA-2001-AVI-041 | 0 CVE
[+] CERTA-2001-AVI-042 | 0 CVE
[+] CERTA-2001-AVI-043 | 0 CVE
[+] CERTA-2001-AVI-044 | 0 CVE
[+] CERTA-2001-AVI-045 | 0 CVE
[+] CERTA-2001-AVI-046 | 0 CVE
[+] CERTA-2001-AVI-047 | 0 CVE
[+] CERTA-2001-AVI-048 | 0 CVE
[+] CERTA-2001-AVI-049 | 0 CVE
[+] CERTA-2001-AVI-050 | 0 CVE
[+] CERTA-2001-AVI-051 | 0 CVE
[+] CERTA-2001-AVI-052 | 0 CVE
[+] CERTA-2001-AVI-053 | 0 CVE
[+] CERTA-2001-AVI-054 | 0 CVE
[+] CERTA-2001-AVI-055 | 0 CVE
[+] CERTA-2001-AVI-056 | 0 CVE
[+] CERTA-2001-AVI-057 | 0 CVE
[+] CERTA-2001-AVI-058 | 0 CVE
[+] CERTA-2001-AVI-059 | 0 CVE
[+] CERTA-2001-AVI-060 | 0 CVE
[+] CERTA-2001-AVI-061 | 0 CVE
[+] CERTA-2001-AVI-062 | 0 CVE
[+] CERTA-2001-AVI-063 | 0 CVE
[+] CERTA-2001-AVI-064 | 0 CVE
[+] CERTA-2001-AVI-065 | 0 CVE
[+] CERTA-2001-AVI-066 | 0 CVE
[+] CERTA-2001-AVI-067 | 0 CVE
[+] CERTA-2001-AVI-068 | 0 CVE
[+] CERTA-2001-AVI-069 | 0 CVE
[+] CERTA-2001-AVI-070 | 0 CVE
[+] CERTA-2001-AVI-071 | 0 CVE
[+] CERTA-2001-AVI-072 | 0 CVE
[+] CERTA-2001-AVI-073 | 0 CVE
[+] CERTA-2001-AVI-074 | 0 CVE
[+] CERTA-2001-AVI-075 | 0 CVE
[+] CERTA-2001-AVI-076 | 0 CVE
[+] CERTA-2001-AVI-077 | 0 CVE
[+] CERTA-2001-AVI-078 | 0 CVE
[+] CERTA-2001-AVI-079 | 0 CVE
[+] CERTA-2001-AVI-080 | 0 CVE
[+] CERTA-2001-AVI-081 | 0 CVE
[+] CERTA-2001-AVI-082 | 0 CVE
