Dumping CERT-FR AVI JSON from 2000 to 2026
Output dir: /home/runner/work/certfr-intel-mirror/certfr-intel-mirror/database/raw/certfr_dump_root

===== YEAR 2000 (CERTA, 3 digits) =====
[=] CERTA-2000-AVI-001 (no change) | 0 CVE
[=] CERTA-2000-AVI-002 (no change) | 0 CVE
[=] CERTA-2000-AVI-003 (no change) | 0 CVE
[=] CERTA-2000-AVI-004 (no change) | 0 CVE
[=] CERTA-2000-AVI-005 (no change) | 0 CVE
[=] CERTA-2000-AVI-006 (no change) | 0 CVE
[=] CERTA-2000-AVI-007 (no change) | 0 CVE
[=] CERTA-2000-AVI-008 (no change) | 0 CVE
[=] CERTA-2000-AVI-009 (no change) | 0 CVE
[=] CERTA-2000-AVI-010 (no change) | 0 CVE
[=] CERTA-2000-AVI-011 (no change) | 0 CVE
[=] CERTA-2000-AVI-012 (no change) | 0 CVE
[=] CERTA-2000-AVI-013 (no change) | 0 CVE
[=] CERTA-2000-AVI-014 (no change) | 0 CVE
[=] CERTA-2000-AVI-015 (no change) | 0 CVE
[=] CERTA-2000-AVI-016 (no change) | 0 CVE
[=] CERTA-2000-AVI-017 (no change) | 0 CVE
[=] CERTA-2000-AVI-018 (no change) | 0 CVE
[=] CERTA-2000-AVI-019 (no change) | 0 CVE
[=] CERTA-2000-AVI-020 (no change) | 0 CVE
[=] CERTA-2000-AVI-021 (no change) | 0 CVE
[=] CERTA-2000-AVI-022 (no change) | 0 CVE
[=] CERTA-2000-AVI-023 (no change) | 0 CVE
[=] CERTA-2000-AVI-024 (no change) | 0 CVE
[=] CERTA-2000-AVI-025 (no change) | 0 CVE
[=] CERTA-2000-AVI-026 (no change) | 0 CVE
[=] CERTA-2000-AVI-027 (no change) | 0 CVE
[=] CERTA-2000-AVI-028 (no change) | 0 CVE
[=] CERTA-2000-AVI-029 (no change) | 0 CVE
[=] CERTA-2000-AVI-030 (no change) | 0 CVE
[=] CERTA-2000-AVI-031 (no change) | 0 CVE
[=] CERTA-2000-AVI-032 (no change) | 0 CVE
[=] CERTA-2000-AVI-033 (no change) | 0 CVE
[=] CERTA-2000-AVI-034 (no change) | 0 CVE
[=] CERTA-2000-AVI-035 (no change) | 0 CVE
[=] CERTA-2000-AVI-036 (no change) | 0 CVE
[=] CERTA-2000-AVI-037 (no change) | 0 CVE
[=] CERTA-2000-AVI-038 (no change) | 0 CVE
[=] CERTA-2000-AVI-039 (no change) | 0 CVE
[=] CERTA-2000-AVI-040 (no change) | 0 CVE
[=] CERTA-2000-AVI-041 (no change) | 0 CVE
[=] CERTA-2000-AVI-042 (no change) | 0 CVE
[=] CERTA-2000-AVI-043 (no change) | 0 CVE
[=] CERTA-2000-AVI-044 (no change) | 0 CVE
[=] CERTA-2000-AVI-045 (no change) | 0 CVE
[=] CERTA-2000-AVI-046 (no change) | 0 CVE
[=] CERTA-2000-AVI-047 (no change) | 0 CVE
[=] CERTA-2000-AVI-048 (no change) | 0 CVE
[=] CERTA-2000-AVI-049 (no change) | 0 CVE
[=] CERTA-2000-AVI-050 (no change) | 0 CVE
[=] CERTA-2000-AVI-051 (no change) | 0 CVE
[=] CERTA-2000-AVI-052 (no change) | 0 CVE
[=] CERTA-2000-AVI-053 (no change) | 0 CVE
[=] CERTA-2000-AVI-054 (no change) | 0 CVE
[=] CERTA-2000-AVI-055 (no change) | 0 CVE
[=] CERTA-2000-AVI-056 (no change) | 0 CVE
[=] CERTA-2000-AVI-057 (no change) | 0 CVE
[=] CERTA-2000-AVI-058 (no change) | 0 CVE
[=] CERTA-2000-AVI-059 (no change) | 0 CVE
[=] CERTA-2000-AVI-060 (no change) | 0 CVE
[=] CERTA-2000-AVI-061 (no change) | 0 CVE
[=] CERTA-2000-AVI-062 (no change) | 0 CVE
[=] CERTA-2000-AVI-063 (no change) | 0 CVE
[=] CERTA-2000-AVI-064 (no change) | 0 CVE
[=] CERTA-2000-AVI-065 (no change) | 0 CVE
[=] CERTA-2000-AVI-066 (no change) | 0 CVE
[=] CERTA-2000-AVI-067 (no change) | 0 CVE
[=] CERTA-2000-AVI-068 (no change) | 0 CVE
[=] CERTA-2000-AVI-069 (no change) | 0 CVE
[=] CERTA-2000-AVI-070 (no change) | 0 CVE
[=] CERTA-2000-AVI-071 (no change) | 0 CVE
[=] CERTA-2000-AVI-072 (no change) | 0 CVE
[=] CERTA-2000-AVI-073 (no change) | 0 CVE
[=] CERTA-2000-AVI-074 (no change) | 0 CVE
[=] CERTA-2000-AVI-075 (no change) | 0 CVE
[=] CERTA-2000-AVI-076 (no change) | 0 CVE
[=] CERTA-2000-AVI-077 (no change) | 0 CVE
[=] CERTA-2000-AVI-078 (no change) | 0 CVE
[=] CERTA-2000-AVI-079 (no change) | 0 CVE
[=] CERTA-2000-AVI-080 (no change) | 0 CVE
[=] CERTA-2000-AVI-081 (no change) | 0 CVE
[=] CERTA-2000-AVI-082 (no change) | 0 CVE
[=] CERTA-2000-AVI-083 (no change) | 0 CVE
[=] CERTA-2000-AVI-084 (no change) | 0 CVE
[=] CERTA-2000-AVI-085 (no change) | 0 CVE
[=] CERTA-2000-AVI-086 (no change) | 0 CVE
[=] CERTA-2000-AVI-087 (no change) | 0 CVE
[=] CERTA-2000-AVI-088 (no change) | 0 CVE
[=] CERTA-2000-AVI-089 (no change) | 0 CVE
[=] CERTA-2000-AVI-090 (no change) | 0 CVE
[=] CERTA-2000-AVI-091 (no change) | 0 CVE
[=] CERTA-2000-AVI-092 (no change) | 0 CVE
[=] CERTA-2000-AVI-093 (no change) | 0 CVE
Done 2000: new=0, updated=0, skipped=93, errors=0

===== YEAR 2001 (CERTA, 3 digits) =====
[=] CERTA-2001-AVI-001 (no change) | 0 CVE
[=] CERTA-2001-AVI-002 (no change) | 0 CVE
[=] CERTA-2001-AVI-003 (no change) | 0 CVE
[=] CERTA-2001-AVI-004 (no change) | 0 CVE
[=] CERTA-2001-AVI-005 (no change) | 0 CVE
[=] CERTA-2001-AVI-006 (no change) | 0 CVE
[=] CERTA-2001-AVI-007 (no change) | 0 CVE
[=] CERTA-2001-AVI-008 (no change) | 0 CVE
[=] CERTA-2001-AVI-009 (no change) | 0 CVE
